gender,customer_type,travel_type,flight_distance,inflight_wifi_serv,time_conv,online_booking_conv,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_ent,on-board_serv,leg_room_serv,baggage_handling,checkin_serv,inflight_serv,cleanliness,depart_delay_in_mins,arr_delay_in_mins,satisfaction,age_group
1,0,1,0.08663166397415187,0.6000000000000001,0.8,0.6000000000000001,0.2,1.0,0.6000000000000001,1.0,1.0,0.8,0.6000000000000001,0.75,0.8,1.0,1.0,0.015703517587939697,0.011363636363636364,0,0
0,0,1,0.05593699515347335,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.4,1.0,1.0,1.0,0.2,0.0,0.0,0,0
0,0,0,0.05735056542810986,0.8,0.8,0.8,0.8,0.4,0.4,0.2,0.8,0.8,0.8,0.75,0.4,0.8,0.4,0.0,0.005050505050505051,1,2
1,0,1,0.10480613893376414,0.8,0.6000000000000001,0.8,0.4,0.4,0.8,0.4,0.4,1.0,0.2,0.75,0.6000000000000001,0.8,0.4,0.014447236180904523,0.012626262626262628,0,2
0,0,0,0.025444264943457192,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6000000000000001,0.6000000000000001,0.0,0.2,0.8,0.8,0.0,0.0,1,2
1,0,0,0.03513731825525041,0.6000000000000001,0.4,0.4,0.4,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,1.0,0.0,0.2,0.4,0.6000000000000001,0.04020100502512563,0.030934343434343436,0,1
1,0,1,0.09794022617124395,0.2,0.8,0.2,0.4,0.4,0.2,0.4,0.4,0.8,0.8,1.0,1.0,1.0,0.4,0.0,0.02335858585858586,0,4
1,0,0,0.07532310177705978,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.4,0.25,0.8,0.4,0.8,0.010678391959798994,0.001893939393939394,1,1
0,0,1,0.09470920840064621,0.6000000000000001,1.0,0.6000000000000001,0.4,0.6000000000000001,0.8,1.0,1.0,1.0,0.6000000000000001,1.0,0.8,1.0,1.0,0.0,0.0,0,3
0,0,0,0.04644588045234249,1.0,0.8,0.8,0.8,0.8,0.6000000000000001,0.2,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.0,0.0,1,2
