travel_type,inflight_wifi_serv,online_boarding,online_booking_conv,inflight_ent,customer_type,food_and_drink,cleanliness,seat_comfort,flight_distance,arr_delay_in_mins
1,0.6000000000000001,0.4,0.4,0.2,0,0.2,0.2,0.2,0.3101214574898785,0.0
1,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.3360323886639676,0.5227272727272727
0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,1,0.4,0.4,0.6000000000000001,0.2780026990553306,0.0
0,0.8,1.0,1.0,0.4,1,0.4,0.4,0.4,0.3106612685560054,0.0
0,0.2,0.2,0.8,0.2,0,0.2,0.2,0.2,0.2167341430499325,0.1818181818181818
1,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,0.2469635627530364,0.0
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0,0.4,0.4,0.4,0.1139001349527665,1.0
0,0.4,0.4,0.4,0.8,1,0.8,0.8,0.2,0.1228070175438596,0.0
1,0.4,0.6000000000000001,0.6000000000000001,1.0,0,1.0,1.0,1.0,0.1157894736842105,0.4090909090909091
0,0.4,0.4,0.4,0.4,0,0.4,0.4,0.2,0.308502024291498,0.0909090909090909
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,0,1.0,1.0,1.0,0.0477732793522267,0.0
1,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,0,1.0,0.8,1.0,0.1946018893387314,0.6590909090909091
1,0.8,0.6000000000000001,0.8,0.8,0,0.8,0.4,0.8,0.5689608636977057,0.0
0,1.0,1.0,1.0,0.2,1,0.2,0.2,0.2,0.1136302294197031,1.0
1,0.8,0.8,0.8,1.0,0,1.0,1.0,1.0,0.1856950067476383,0.6363636363636364
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0,0.6000000000000001,0.6000000000000001,0.2,0.6237516869095816,0.0
0,0.4,0.4,0.4,1.0,1,1.0,1.0,1.0,0.2731443994601889,0.0
1,0.8,0.8,0.8,1.0,0,0.4,1.0,1.0,0.3133603238866397,0.5454545454545454
0,0.2,0.2,0.8,0.2,0,0.2,0.2,0.2,0.08582995951417,0.0227272727272727
1,0.8,0.8,0.8,0.8,0,0.4,0.8,1.0,0.0731443994601889,0.7045454545454546
1,0.4,0.4,0.4,1.0,0,1.0,1.0,1.0,0.3840755735492577,0.0
0,0.4,0.4,0.2,0.4,0,0.4,0.4,0.4,0.1889338731443994,0.1818181818181818
0,1.0,0.4,1.0,1.0,0,0.2,0.4,0.6000000000000001,0.0750337381916329,0.0
1,0.4,0.4,0.4,0.8,0,0.8,0.8,0.8,0.2008097165991902,0.0
1,0.4,0.6000000000000001,0.4,0.8,0,0.2,0.8,0.8,0.224021592442645,0.2272727272727273
0,0.4,0.4,0.4,0.8,1,0.8,0.8,0.8,0.1120107962213225,0.0
0,0.4,0.4,0.4,0.8,1,0.8,0.8,0.6000000000000001,0.165991902834008,0.0227272727272727
1,0.4,0.4,0.4,0.8,0,0.8,0.8,0.8,0.042914979757085,0.0
0,0.4,0.4,0.2,0.4,0,0.4,0.4,0.4,0.0747638326585695,0.2727272727272727
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,0,0.2,0.2,0.2,0.2369770580296896,0.0
1,0.8,0.8,0.8,0.4,0,0.4,0.4,0.4,0.3314439946018893,0.1136363636363636
0,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.0499325236167341,0.0
0,0.8,0.8,0.8,0.6000000000000001,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2121457489878542,0.0
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,0,1.0,1.0,0.4,0.1775978407557354,0.0
0,0.4,0.4,0.4,0.6000000000000001,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.1333333333333333,0.0
1,0.0,0.0,0.0,0.8,0,0.8,0.8,0.6000000000000001,0.242914979757085,0.0
0,0.4,0.4,1.0,0.6000000000000001,0,1.0,0.8,0.8,0.0852901484480431,0.25
0,0.8,0.8,0.2,0.8,0,0.8,0.8,0.8,0.2728744939271255,1.0
1,0.8,0.8,0.8,1.0,0,1.0,1.0,1.0,0.4701754385964912,0.4090909090909091
1,0.4,0.4,0.4,0.6000000000000001,0,0.6000000000000001,0.6000000000000001,0.8,0.0812415654520917,1.0
1,0.4,0.4,0.4,1.0,0,1.0,1.0,0.2,0.1935222672064777,0.0
1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,0,0.8,0.8,0.8,0.1403508771929824,0.0
0,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2539811066126856,0.0
1,0.8,0.8,0.8,1.0,0,1.0,1.0,1.0,0.0631578947368421,0.5227272727272727
0,0.4,0.4,0.4,0.2,1,0.2,0.2,0.2,0.1233468286099865,0.0
