travel_type,inflight_wifi_serv,online_boarding,customer_type,inflight_ent,food_and_drink,cleanliness,seat_comfort,online_booking_conv,flight_distance,arr_delay_in_mins,satisfaction
1,0.6000000000000001,0.6000000000000001,0,1.0,1.0,1.0,1.0,0.6000000000000001,0.1157894736842105,0.4090909090909091,0
1,0.4,0.4,0,0.2,0.2,0.2,0.2,0.4,0.0747638326585695,0.0,0
0,0.8,0.4,0,0.8,0.4,0.4,0.2,0.8,0.0766531713900134,0.1818181818181818,1
1,0.8,0.8,0,0.4,0.4,0.4,0.4,0.8,0.140080971659919,0.4545454545454546,0
0,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.0340080971659919,0.0,1
0,0.6000000000000001,0.6000000000000001,0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.0469635627530364,1.0,0
1,0.2,0.2,0,0.4,0.4,0.4,0.4,0.2,0.1309041835357624,1.0,0
0,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0.1006747638326585,0.0681818181818181,1
1,0.6000000000000001,0.8,0,1.0,0.6000000000000001,1.0,1.0,0.6000000000000001,0.1265856950067476,0.0,0
0,1.0,0.6000000000000001,0,1.0,0.8,0.2,0.2,0.8,0.0620782726045883,0.0,1
1,0.2,0.2,0,1.0,1.0,1.0,1.0,0.2,0.0717948717948717,1.0,0
0,0.6000000000000001,0.6000000000000001,1,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2831309041835357,0.0,0
0,0.2,0.6000000000000001,0,0.4,0.4,0.8,0.8,0.8,0.1468286099865047,0.3636363636363636,0
0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.1751686909581646,0.6136363636363636,1
0,1.0,1.0,0,0.8,0.8,0.8,0.8,0.4,0.0909581646423751,0.0,1
1,0.4,0.4,0,0.8,0.8,0.8,0.8,0.4,0.3824561403508772,0.0909090909090909,0
1,0.6000000000000001,0.6000000000000001,0,0.2,0.2,0.2,0.2,0.6000000000000001,0.0356275303643724,0.25,0
0,0.8,0.8,0,0.8,0.8,0.8,0.8,1.0,0.1246963562753036,0.1363636363636363,1
0,0.4,0.6000000000000001,0,0.6000000000000001,0.4,0.6000000000000001,0.8,0.6000000000000001,0.0097165991902834,0.4090909090909091,0
1,0.4,0.4,0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.3157894736842105,0.3181818181818182,0
0,0.4,0.4,0,0.4,0.4,0.4,0.4,0.2,0.2817813765182186,0.0,0
0,0.8,0.8,1,0.2,0.2,0.2,0.2,0.8,0.235357624831309,0.6363636363636364,0
0,0.4,0.4,0,0.4,0.4,0.4,0.2,1.0,0.1541160593792172,1.0,0
1,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,0.1398110661268556,0.0,0
1,0.6000000000000001,0.6000000000000001,0,0.2,0.2,0.2,0.2,0.6000000000000001,0.3619433198380566,0.0,0
0,0.2,0.2,1,0.8,0.8,0.8,0.4,0.2,0.0431848852901484,1.0,0
0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0385964912280701,0.0,1
0,0.8,1.0,0,0.8,1.0,1.0,0.6000000000000001,0.4,0.2364372469635627,0.0227272727272727,1
1,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2086369770580296,0.0,0
