gender,customer_type,travel_type,flight_distance,inflight_wifi_serv,time_conv,online_booking_conv,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_ent,on-board_serv,leg_room_serv,baggage_handling,checkin_serv,inflight_serv,cleanliness,arr_delay_in_mins,satisfaction,age_group
1.0,0.0,1.0,0.22578947368421054,0.6000000000000001,0.8,0.6000000000000001,0.0,1.0,0.6000000000000001,1.0,1.0,0.75,0.6000000000000001,0.75,0.75,1.0,1.0,0.375,0.0,0.0
0.0,0.0,1.0,0.14578947368421052,0.4,0.8,0.4,0.25,0.2,0.4,0.0,0.2,0.0,0.4,1.0,1.0,1.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.14947368421052631,0.8,0.8,0.8,0.75,0.4,0.4,0.0,0.8,0.75,0.8,0.75,0.25,0.75,0.4,0.16666666666666666,1.0,0.5
1.0,0.0,1.0,0.2731578947368421,0.8,0.6000000000000001,0.8,0.25,0.4,0.8,0.25,0.4,1.0,0.2,0.75,0.5,0.75,0.4,0.41666666666666663,0.0,0.5
0.0,0.0,0.0,0.0663157894736842,0.8,0.8,0.8,0.75,0.8,0.8,0.75,0.8,0.5,0.6000000000000001,0.0,0.0,0.75,0.8,0.0,1.0,0.5
1.0,0.0,0.0,0.09157894736842105,0.6000000000000001,0.4,0.4,0.25,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.25,1.0,0.0,0.0,0.25,0.6000000000000001,1.0,0.0,0.25
1.0,0.0,1.0,0.2552631578947368,0.2,0.8,0.2,0.25,0.4,0.2,0.25,0.4,0.75,0.8,1.0,1.0,1.0,0.4,0.7708333333333333,0.0,1.0
1.0,0.0,0.0,0.19631578947368422,0.8,0.8,0.8,0.75,0.8,0.8,0.75,0.8,0.0,0.4,0.25,0.75,0.25,0.8,0.0625,1.0,0.25
0.0,0.0,1.0,0.2468421052631579,0.6000000000000001,1.0,0.6000000000000001,0.25,0.6000000000000001,0.8,1.0,1.0,1.0,0.6000000000000001,1.0,0.75,1.0,1.0,0.0,0.0,0.75
0.0,0.0,0.0,0.12105263157894737,1.0,0.8,0.8,0.75,0.8,0.6000000000000001,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.0,1.0,0.5
0.0,0.0,1.0,0.14,0.2,1.0,0.2,0.5,1.0,0.2,1.0,1.0,1.0,0.2,0.0,0.5,0.75,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.5521052631578948,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.6000000000000001,0.5,0.6000000000000001,0.75,0.2,0.5,0.5,0.5,0.6000000000000001,0.0,0.0,0.25
0.0,0.0,0.0,0.2863157894736842,0.2,0.8,0.8,0.75,0.4,0.6000000000000001,0.75,0.4,0.25,0.2,0.25,0.25,0.25,0.8,0.3333333333333333,0.0,0.75
0.0,0.0,0.0,0.34157894736842104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.0,0.5,1.0,0.5625,1.0,0.25
1.0,0.0,0.0,0.1773684210526316,1.0,0.2,0.4,0.0,0.8,1.0,0.75,0.8,1.0,1.0,0.25,0.75,0.5,0.8,0.0,1.0,0.5
1.0,0.0,1.0,0.7457894736842106,0.4,0.6000000000000001,0.4,1.0,0.8,0.4,0.75,0.8,0.75,0.6000000000000001,0.75,0.5,0.0,0.8,0.08333333333333333,0.0,0.5
1.0,0.0,1.0,0.06947368421052631,0.6000000000000001,1.0,0.6000000000000001,0.25,0.2,0.6000000000000001,0.0,0.2,0.75,0.4,0.75,1.0,1.0,0.2,0.22916666666666666,0.0,0.25
1.0,0.0,0.0,0.2431578947368421,0.8,0.2,1.0,1.0,0.8,0.8,0.75,0.8,0.25,0.8,0.25,0.5,0.75,0.8,0.125,1.0,0.25
0.0,0.0,0.0,0.018947368421052633,0.4,1.0,0.6000000000000001,1.0,0.4,0.6000000000000001,0.75,0.6000000000000001,0.5,0.4,0.5,0.75,0.5,0.6000000000000001,0.375,0.0,1.0
1.0,0.0,1.0,0.6157894736842106,0.4,1.0,0.4,0.5,0.6000000000000001,0.4,0.5,0.6000000000000001,0.75,0.4,0.0,1.0,1.0,0.6000000000000001,0.29166666666666663,0.0,0.0
1.0,0.0,0.0,0.5494736842105263,0.4,0.8,0.2,0.75,0.4,0.4,0.25,0.4,0.0,0.4,0.75,0.75,0.5,0.4,0.0,0.0,0.5
0.0,1.0,0.0,0.4589473684210526,0.8,0.6000000000000001,0.8,0.75,0.2,0.8,0.0,0.2,0.75,1.0,0.5,0.0,0.75,0.2,0.5833333333333333,0.0,0.25
1.0,0.0,0.0,0.30052631578947364,0.4,1.0,1.0,1.0,0.4,0.4,0.0,0.4,0.5,0.8,0.75,0.75,0.75,0.4,1.0,0.0,0.25
0.0,0.0,1.0,0.2726315789473684,0.4,1.0,0.4,0.5,0.4,0.4,0.25,0.4,1.0,1.0,0.75,1.0,0.75,0.4,0.0,0.0,0.0
0.0,0.0,1.0,0.7057894736842105,0.6000000000000001,1.0,0.6000000000000001,0.0,0.2,0.6000000000000001,0.0,0.2,0.5,0.4,0.5,0.75,1.0,0.2,0.0,0.0,0.25
